parent_cluster,parent_name,sub_cluster,sub_name,sub_description,movie_count,avg_confidence,top_features,unique_differentiators
2,Indian Family Thrillers,0,Psychological Indian Thrillers,"Characterized by intense psychological suspense and crime elements, distinguishing it from the broader Indian Family Thrillers sub-cluster.",28,0.999,"Feature 0074 (+0.45), genre_Thriller (+0.43), genre_Mystery (+0.41), Feature 1012 (+0.37), Feature 0227 (+0.35)",
2,Indian Family Thrillers,1,Romantic Indian Family Rail,"Characterized by an emphasis on romantic relationships and emotional storytelling, setting it apart from other family thrillers.",33,0.996,"genre_Romance (+0.62), genre_Comedy (+0.39), Feature 1078 (+0.36), Feature 0500 (+0.34), Feature 0044 (+0.32)",
4,Beneath the Neon Veil,0,Romantic Glow Under Neon,"Characterized by an intensified focus on sentimental and emotional storytelling, often with a strong emphasis on relationships and personal growth.",39,0.973,"genre_Romance (+0.74), genre_Comedy (+0.41), Feature 1006 (+0.37), Feature 0355 (+0.35), Feature 1078 (+0.33)",
4,Beneath the Neon Veil,1,Shadows Beneath Neon,"Characterized by an intense focus on psychological suspense and crime thriller elements, setting it apart from its parent rail with a darker, more ominous tone.",77,0.993,"Feature 0457 (+0.30), Feature 1012 (+0.29), Feature 1074 (+0.28), Feature 0335 (+0.27), genre_Crime (+0.26)",
4,Beneath the Neon Veil,2,Shadows Beneath the Glow,"Characterized by a preponderance of medieval fantasy elements and high-stakes action sequences, this sub-cluster diverges from its parent rail's neon-lit aesthetic with a focus on gritty, sword-wielding heroism.",22,0.971,"Feature 0137 (+0.58), genre_Action (+0.53), Feature 0431 (+0.50), Feature 0362 (+0.35), Feature 0284 (+0.34)",
7,Cosmic Science Odyssey Films,0,Mythos and Make-up,"Characterized by its emphasis on transformative make-up, enchanted creatures, and tidy endings, setting it apart from the broader Cosmic Science Odyssey Films.",18,0.92,"Feature 1056 (+0.46), genre_Fantasy (+0.44), Feature 0478 (+0.34), genre_Horror (+0.29), Feature 0483 (+0.25)","Feature 0299 (+0.13), Feature 0276 (+0.12), Feature 0099 (+0.12), Feature 0467 (+0.10), Feature 0239 (+0.10)"
7,Cosmic Science Odyssey Films,1,American Cosmic Comedies,"Characterized by its blend of science fiction and American humor, often with a somber or eerie tone.",88,0.963,"genre_Comedy (+0.30), Feature 0183 (+0.23), genre_Horror (+0.21), Feature 0086 (+0.19), Feature 0379 (+0.18)","Feature 1058 (+0.11), Feature 0145 (+0.10), Feature 0187 (+0.09), Feature 0011 (+0.09), Feature 0142 (+0.08)"
11,Family Adventure Fantasies,0,Epic Quest Fantasies,"Characterized by grand, high-stakes adventures and a focus on heroic journeys, distinguishing it from its parent rail with a greater emphasis on fantasy world-building and epic storytelling.",17,1.0,"Feature 0518 (+0.71), Feature 0099 (+0.68), Feature 0062 (+0.66), Feature 0182 (+0.65), genre_Fantasy (+0.53)",
11,Family Adventure Fantasies,1,American Family Comedies,"Characterized by their lighthearted, comedic narratives set against the backdrop of American suburban life.",21,0.975,"Feature 1058 (+0.47), Feature 0069 (+0.43), Feature 0086 (+0.40), Feature 0482 (+0.28), Feature 0408 (+0.24)",
12,War and Mourning Films,0,Healing Through Relationships,"This sub-cluster highlights films that focus on the emotional healing and growth facilitated by relationships, particularly romantic ones, amidst the backdrop of war and mourning.",35,0.823,"genre_Romance (+0.28), Feature 1006 (+0.22), Feature 0093 (+0.21), Feature 0482 (+0.21), Feature 0266 (+0.19)",
12,War and Mourning Films,1,East Asian War Epics,"Characterized by their focus on Asian culture, history, and struggle for survival during wartime.",26,0.735,"genre_Action (+0.44), genre_History (+0.28), Feature 0087 (+0.22), Feature 0038 (+0.22), Feature 0437 (+0.18)",
