parent_cluster,parent_name,sub_cluster,sub_name,sub_description,movie_count,avg_confidence
0,The American Frontier Odyssey,0,Western Quests and Legends,"Characterized by a focus on adventure, friendship, and action, with a strong emphasis on narrative driven by context and set design.",25,0.617
0,The American Frontier Odyssey,1,Romantic Trailblazers,Characterized by an emphasis on romance and personal relationships amidst the vast American landscape.,60,0.681
1,Crime Thrillers of Deception,0,Deception-Driven Pursuit,"Characterized by a focus on intricate plots and cat-and-mouse chases, distinguishing it from its parent rail with a greater emphasis on law enforcement narratives.",41,0.729
1,Crime Thrillers of Deception,1,California Family Deceit,"Characterized by family-centric narratives and California settings, with a focus on psychological distress and deceptive appearances.",27,0.59
2,Indian Action Dramas,0,Romantic Indian Dramas,"Characterized by an emphasis on romantic relationships and feel-good narratives, distinguishing it from the action-oriented parent rail.",78,0.949
2,Indian Action Dramas,1,Crime-Driven Indian Action,"Characterized by a strong focus on crime, justice, and retribution, setting it apart from its parent rail with a greater emphasis on action and drama over romance or comedy.",50,0.963
2,Indian Action Dramas,2,Crime Thrillers of India,"Characterized by intense crime investigations and relentless chases, setting it apart from its action-oriented parent rail.",8,1.0
2,Indian Action Dramas,3,Crime Thriller Subcluster,"Characterized by a heightened focus on suspenseful atmosphere, violent crimes, and plot twists, setting it apart from the broader Indian Action Dramas parent rail.",12,1.0
2,Indian Action Dramas,4,Bollywood Action Comedies,"Characterized by the prominent use of humor, adventure, and lighthearted tone, setting it apart from more serious Indian action dramas.",5,0.927
2,Indian Action Dramas,5,Comedic Action Thrillers,"Characterized by an emphasis on humor and adventure, distinguishing it from the more serious action dramas of the parent rail.",16,0.95
2,Indian Action Dramas,6,Psychological Thrillers of India,"Characterized by their emphasis on suspenseful storytelling and complex plot twists, distinguishing them from other Indian Action Dramas.",10,0.986
2,Indian Action Dramas,7,Psychological Thriller Sub cluster,"Characterized by elevated elements of suspense, deception, and crime, setting it apart from its action-oriented parent rail.",17,0.991
3,East Asian Action Cinema Cluster,0,Heartwarming Action Films,"Characterized by their sentimental tone and focus on coming-of-age narratives, distinguishing them from the more intense action-oriented East Asian Action Cinema Cluster.",16,0.997
3,East Asian Action Cinema Cluster,1,Fantastical Adventure Rail,"Characterized by an emphasis on fantastical elements, adventure, and young protagonists, setting it apart from the more grounded action films of the parent cluster.",12,1.0
3,East Asian Action Cinema Cluster,2,Fantasy Anime Subcluster,"Characterized by its emphasis on magical worlds, family narratives, and visually stunning animation, setting it apart from the action-oriented East Asian Action Cinema Cluster.",7,1.0
3,East Asian Action Cinema Cluster,3,Cyberpunk East Asia,"Characterized by prominent sci-fi and thriller elements, with a focus on high-tech narratives and futuristic settings.",10,0.791
3,East Asian Action Cinema Cluster,4,Fantasy-Action Fusion Subcluster,"Characterized by prominent fantasy elements and comedic undertones, setting it apart from the more serious action-oriented East Asian Action Cinema Cluster.",10,0.873
3,East Asian Action Cinema Cluster,5,Buddy Cop Dramas,"Character-driven action films that emphasize male friendships and moral redemption, often with a focus on Asian culture.",16,1.0
3,East Asian Action Cinema Cluster,6,Psychological Horror East Asia,"Characterized by an emphasis on psychological tension, supernatural themes, and somber atmospheres over traditional action and cultural elements.",9,1.0
3,East Asian Action Cinema Cluster,7,Samurai-Infused Action Films,"Characterized by their emphasis on martial arts, honor, and cultural tradition, setting them apart from the broader East Asian Action Cinema Cluster with its greater diversity of themes and genres.",27,1.0
3,East Asian Action Cinema Cluster,8,High-Octane Adventure Cluster,"Characterized by an emphasis on fast-paced action and comedic elements, setting it apart from its East Asian Action Cinema Cluster parent.",10,1.0
3,East Asian Action Cinema Cluster,9,Medieval Fantasy Action,"Characterized by its emphasis on high fantasy elements, pre-modern settings, and a focus on Asian culture, this sub-cluster diverges from the parent rail's emphasis on action and spectacle.",6,0.97
3,East Asian Action Cinema Cluster,10,Supernatural Thriller Rail,"Characterized by an emphasis on supernatural elements, eerie atmosphere, and psychological horror, setting it apart from the action-oriented East Asian Action Cinema Cluster.",20,1.0
3,East Asian Action Cinema Cluster,11,Dark Yakuza Noir,"Characterized by its focus on crime, psychological suspense, and somber atmosphere, setting it apart from the more action-oriented East Asian Action Cinema Cluster.",59,1.0
3,East Asian Action Cinema Cluster,12,Fantastical East Asian Cinema,"Characterized by an emphasis on rich visual storytelling, intricate world-building, and a blend of action and fantasy elements.",7,0.913
3,East Asian Action Cinema Cluster,13,Fantastical East Asian Action,"Characterized by an emphasis on fantasy and adventure elements, distinct from the more grounded action films of the parent cluster.",11,0.948
3,East Asian Action Cinema Cluster,14,Comedic Action Subcluster,"Characterized by an emphasis on humor and lighthearted adventure, setting it apart from the more serious action-oriented East Asian Action Cinema Cluster.",8,0.916
3,East Asian Action Cinema Cluster,15,Psychological J-Horror Subcluster,"Characterized by its intense focus on psychological horror, unsettling tone, and Japanese setting, distinct from the action-oriented East Asian Action Cinema Cluster.",12,1.0
3,East Asian Action Cinema Cluster,16,Japanese Supernatural Thrillers,"Characterized by their emphasis on supernatural phenomena and eerie atmosphere, setting them apart from the more action-oriented East Asian Action Cinema Cluster.",13,1.0
3,East Asian Action Cinema Cluster,17,Romantic Action Subcluster,"Characterized by a focus on romantic relationships and comedic elements, distinct from the action-oriented East Asian Action Cinema Cluster.",17,0.947
3,East Asian Action Cinema Cluster,18,Dark East Asian Thrillers,"Characterized by their intense focus on crime, psychological suspense, and somber atmosphere, with a distinct emphasis on exploring the complexities of human morality.",29,0.991
3,East Asian Action Cinema Cluster,19,Kung Fu Comedy Cluster,"Characterized by the prominent integration of comedic elements and lighthearted tone, setting it apart from the more serious action-oriented East Asian Action Cinema Cluster.",15,1.0
3,East Asian Action Cinema Cluster,20,Romantic Realism Cluster,"Character-driven dramas focusing on nuanced, introspective explorations of love and identity set against a backdrop of traditional Japanese culture.",14,1.0
3,East Asian Action Cinema Cluster,21,Romantic Drama Rail,"Characterized by its focus on poignant, feel-good narratives with a strong emphasis on romance and character development.",5,1.0
3,East Asian Action Cinema Cluster,22,Romantic Realism Cluster,"Characterized by its focus on nuanced, character-driven storytelling and romantic themes, distinct from the action-oriented East Asian Action Cinema Cluster.",12,0.98
3,East Asian Action Cinema Cluster,23,Romantic East Asian Cinema,"Characterized by a strong emphasis on emotional storytelling, relationships, and sentimental value, setting it apart from its action-oriented parent cluster.",9,1.0
3,East Asian Action Cinema Cluster,24,Romantic East Asian Cinema,"Characterized by an increased emphasis on romantic relationships, emotional drama, and female-centric narratives, distinct from the action-oriented focus of the parent rail.",13,1.0
3,East Asian Action Cinema Cluster,25,Psychological Thriller Subcluster,"Characterized by its intense focus on psychological suspense and crime, distinguishing it from the broader East Asian Action Cinema Cluster with its emphasis on high-stakes chases and action sequences.",16,1.0
3,East Asian Action Cinema Cluster,26,Psychological Thriller Cluster,"Characterized by an emphasis on psychological suspense, crime thrills, and complex plot twists, distinguishing it from its parent rail's focus on high-octane action sequences.",11,1.0
3,East Asian Action Cinema Cluster,27,Crime-Driven East Asia,"Characterized by a heightened focus on crime and law enforcement narratives, setting it apart from the broader East Asian Action Cinema Cluster.",8,1.0
3,East Asian Action Cinema Cluster,28,High-Octane Thrillers,"Characterized by intense action sequences and crime narratives, setting it apart from its parent rail with a greater emphasis on suspense and adrenaline-fueled storytelling.",25,1.0
3,East Asian Action Cinema Cluster,29,High-Octane Heroism Cluster,"Characterized by intense, fast-paced action sequences and a focus on individual heroism.",11,1.0
3,East Asian Action Cinema Cluster,30,High-Octane Crime Thrillers,"Characterized by intense action sequences, crime narratives, and a focus on justice, distinct from its parent rail's emphasis on post-war era settings and character-driven storytelling.",5,1.0
3,East Asian Action Cinema Cluster,31,High-Octane Hero Journeys,"Characterized by intense, plot-driven action sequences and a focus on heroic struggles for justice and retribution.",14,1.0
3,East Asian Action Cinema Cluster,32,Neo-Noir East Asia,"Characterized by its focus on crime, drama, and social class, with a distinct emphasis on culture and melancholy atmosphere.",6,1.0
3,East Asian Action Cinema Cluster,33,Romantic Drama Rail,"Characterized by an emphasis on emotional relationships and introspection, distinguishing it from the action-oriented East Asian Action Cinema Cluster.",12,0.999
3,East Asian Action Cinema Cluster,34,Romantic Realism Sub-Cluster,"Character-driven dramas that emphasize poignant mood, cultural focus, and budding romance over action-packed plots.",14,1.0
5,The Underdog's Triumph,0,Triumph of Innocence,"This sub-cluster focuses on films that emphasize the transformative power of childhood and family, often with a nostalgic and sentimental tone.",13,0.449
5,The Underdog's Triumph,1,Triumph of Vulnerable Hearts,"Characterized by an emphasis on emotional vulnerability, personal growth, and nuanced relationships over action-packed plots or triumphant victories.",16,0.781
5,The Underdog's Triumph,2,Triumphs of the Subcontinent,"Characterized by strong emphasis on Asian culture, history, and female-centric narratives, setting it apart from the parent rail's focus on American underdog stories.",7,0.571
5,The Underdog's Triumph,3,Comedic Comeback Kids,"This sub-cluster highlights films that balance humor with a triumphant underdog story, often incorporating satire and uplifting emotional tones.",19,0.824
5,The Underdog's Triumph,4,East Asian Underdogs Rise,"This sub-cluster highlights films that defy the typical underdog narrative by focusing on Asian protagonists and settings, often with a darker or more nuanced tone.",5,0.896
5,The Underdog's Triumph,5,Triumphant Rom-Coms,"Character-driven romantic comedies with uplifting emotional tones, often featuring female-centric narratives and charming protagonists.",17,0.994
5,The Underdog's Triumph,6,Triumphs of Resilience,"This sub-cluster highlights films that emphasize overcoming hardship and loss, often with a strong focus on character-driven stories and dramatic narratives.",12,0.918
5,The Underdog's Triumph,7,Triumph Over Adversity,"This sub-cluster emphasizes the underdog's personal struggle and redemption, often at the expense of lighter or more comedic elements found in the parent rail.",10,0.698
5,The Underdog's Triumph,8,Southern Dramas of Struggle,"This sub-cluster focuses on films that combine elements of Southern settings, dramatic narratives, and themes of struggle and survival.",15,0.852
6,Romantic Melodrama Cluster,0,American Romantic Whimsy,"Characterized by its blend of traditional romance and humor, set against a backdrop of rural America.",14,0.686
6,Romantic Melodrama Cluster,1,European Gothic Romance,"Characterized by a focus on mood, historical setting, and intense emotional drama, with a strong emphasis on visual and cinematic storytelling.",13,0.814
6,Romantic Melodrama Cluster,2,Melancholic Masterpieces,"Characterized by an emphasis on emotional depth, artistic expression, and atmospheric tension, setting it apart from its more lighthearted Romantic Melodrama Cluster parent.",25,0.792
6,Romantic Melodrama Cluster,3,Sun-Kissed Sentimentalism,"Characterized by an intense focus on joy, love, and uplifting emotions, setting it apart from its parent rail with a more balanced exploration of life's complexities.",12,0.733
6,Romantic Melodrama Cluster,4,Neon Noir Romanticism,"Characterized by its dark, gritty, and humorous take on romance in 21st century New York City.",7,0.934
6,Romantic Melodrama Cluster,5,Comedic Romantic Escapades,"Characterized by elevated comedy elements and reduced focus on artistic or narrative themes, setting it apart from the parent rail's emphasis on melodrama and introspection.",9,0.936
6,Romantic Melodrama Cluster,6,European Romantic Dramas,"Characterized by an emphasis on poignant, morally complex narratives set against a backdrop of European culture and history.",12,0.736
6,Romantic Melodrama Cluster,7,Dark Comedic Thrillers,"Characterized by their dark humor, crime elements, and elevated emphasis on suspenseful plot twists over traditional romantic melodrama tropes.",8,0.779
6,Romantic Melodrama Cluster,8,California Dreamscapes,"Characterized by its emphasis on lighthearted, uplifting narratives and a focus on female friendships set against the idyllic backdrop of California.",22,0.849
7,Musical Romances and Comedies,0,Elevated Biographical Dramas,"Characterized by a strong focus on biographical narratives, historical context, and dramatic storytelling, setting it apart from the more lighthearted and comedic elements of Musical Romances and Comedies.",7,0.384
7,Musical Romances and Comedies,1,Romantic Melodramas,"Characterized by an overemphasis on music and dramatic storytelling, often at the expense of comedic elements.",7,0.601
